Community District,District Currently Eligible for Service,District Currently Receiving Service,Total Number of Addresses in District,Total Number of Households in District,Total Number of Interested Addresses,Percent of Interested Addresses,Total Number of Addresses Receiving Service,Percent of Addresses Receiving Service,"Total Number of Addresses Waiting to be Routed, Not Yet Receiving Service","Percent of Addresses Waiting to be Routed, Not Yet Receiving Service",Total Number of Addresses Not Yet Ready for Service,Percent of Addresses Not Yet Ready for Service,Total Number of Interested Households,Percent of Interested Households,Total Number Households Receiving Service,Percent of Households Receiving Service,"Total Number of Households Waiting to be Routed, Not Yet Receiving Service","Percent of Households Waiting to be Routed, Not Yet Receiving Service",Total Number of Households Not Yet Ready for Service,Percent of Households Not Yet Ready for Service
MN03,true,false,4292,82928,699,0.163,NA,NA,199,4.6%,500,11.6%,36161,0.436,NA,NA,"8,132",9.8%,500,0.6%
MN04,true,false,3415,87884,591,0.173,NA,NA,143,4.2%,448,13.1%,51578,0.587,NA,NA,"8,830",10.0%,448,0.5%
MN05,true,false,2979,44525,178,0.06,NA,NA,37,1.2%,141,4.7%,23514,0.528,NA,NA,"1,361",3.1%,141,0.3%
MN06,true,true,2802,105927,463,0.165,99,3.5%,0,0.0%,364,13.0%,63557,0.6,"17,667",16.7%,0,0,364,0.3%
MN07,true,true,4429,129211,1461,0.33,579,13.1%,1,0.0%,881,19.9%,85853,0.664,"28,145",21.8%,23,0.0001780034,881,0.7%
MN08,true,false,5508,151545,1014,0.184,NA,NA,168,3.1%,846,15.4%,73131,0.483,NA,NA,"6,615",4.4%,846,0.6%
MN09,true,false,2458,45245,537,0.218,NA,NA,254,10.3%,283,11.5%,21275,0.47,NA,NA,"7,645",16.9%,283,0.6%
MN10,true,false,4334,60954,661,0.153,NA,NA,337,7.8%,324,7.5%,22559,0.37,NA,NA,"3,231",5.3%,324,0.5%
MN11,true,false,3094,58580,309,0.1,NA,NA,124,4.0%,185,6.0%,22934,0.391,NA,NA,"2,417",4.1%,185,0.3%
MN12,true,false,2732,73930,650,0.238,NA,NA,145,5.3%,505,18.5%,35164,0.476,NA,NA,"7,502",10.1%,505,0.7%
QN01,false,false,19366,90963,1223,0.063,NA,NA,NA,NA,NA,NA,20848,0.229,NA,NA,NA,NA,NA,NA
QN02,true,false,10759,83062,811,0.075,NA,NA,595,5.5%,216,2.0%,28864,0.347,NA,NA,"2,590",3.1%,216,0.3%
QN03,false,false,14663,53596,338,0.023,NA,NA,NA,NA,NA,NA,11169,0.208,NA,NA,NA,NA,NA,NA
QN04,false,false,11917,54042,132,0.011,NA,NA,NA,NA,NA,NA,3021,0.056,NA,NA,NA,NA,NA,NA
QN05,true,false,31457,66780,1299,0.041,NA,NA,"1,228",3.9%,71,0.2%,5127,0.077,NA,NA,"2,890",4.3%,71,0.1%
QN06,false,false,10314,58056,399,0.039,NA,NA,NA,NA,NA,NA,15860,0.273,NA,NA,NA,NA,NA,NA
QN07,true,false,34830,99566,763,0.022,NA,NA,685,2.0%,78,0.2%,10163,0.102,NA,NA,"1,292",1.3%,78,0.1%
QN08,true,false,19388,59940,530,0.027,NA,NA,465,2.4%,65,0.3%,13748,0.229,NA,NA,"2,166",3.6%,65,0.1%
QN09,true,false,20415,46403,434,0.021,NA,NA,376,1.8%,58,0.3%,5189,0.112,NA,NA,792,1.7%,58,0.1%
QN10,true,false,25140,39346,265,0.011,NA,NA,254,1.0%,11,0.0%,997,0.025,NA,NA,437,1.1%,11,0.0%
QN11,true,false,25830,45313,1029,0.04,NA,NA,983,3.8%,46,0.2%,5987,0.132,NA,NA,"1,607",3.5%,46,0.1%
QN12,false,false,41414,80707,290,0.007,NA,NA,NA,NA,NA,NA,7190,0.089,NA,NA,NA,NA,NA,NA
QN13,true,false,43673,61107,809,0.019,NA,NA,785,1.8%,24,0.1%,2698,0.044,NA,NA,926,1.5%,24,0.0%
QN14,true,false,14960,46808,464,0.031,NA,NA,422,2.8%,42,0.3%,11602,0.248,NA,NA,"2,753",5.9%,42,0.1%
SI01**,true,false,39432,66010,1233,0.031,NA,NA,610,1.5%,623,1.6%,6928,0.105,NA,NA,891,1.3%,"5,449",8.3%
SI02,false,false,34960,49374,240,0.007,NA,NA,NA,NA,NA,NA,2791,0.057,NA,NA,NA,NA,NA,NA
SI03,false,false,50517,61609,252,0.005,NA,NA,NA,NA,NA,NA,915,0.015,NA,NA,NA,NA,NA,NA
