Agency,Geographic Unit,Geographic Identifier,Indicator,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019
DPR,Community District,Queens 2,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),86,95.1,97.1,90.3,98.1,94.5455,94.7368,90.3226,94.83
DPR,Community District,Queens 1,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),85.3,73.8,84.6,75.9,80.8,66.7,80,86.076,95.77
DPR,Community District,Brooklyn 18,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),53.1,52.9,55.6,85.7,85.1,86.8,85.0746,80.5556,86.36
DPR,Community District,Brooklyn 17,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),90.48,100,72.2,88.46,88.46,100,95.8333,82.7586,91.3
DPR,Community District,Brooklyn 16,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),82.9,78,85.7,83.7,87,70.6,84.3137,80.3922,82.14
DPR,Community District,Brooklyn 15,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),97.4,94.7,84.1,96.1,95.7,97.9,95.7447,92.3077,93.62
DPR,Community District,Brooklyn 14,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),83.3,95.7,100,100,85.7,94.4,100,95.2381,91.3
DPR,Community District,Brooklyn 13,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),64.52,70.8,69.2,93.8,91.7,94.9,94.4444,89.7436,90
DPR,Community District,Brooklyn 12,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),80,92.3,84.6,78.9,94.4,100,81.25,94.4444,94.44
DPR,Community District,Brooklyn 11,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),75,64.3,57.1,71.4,66.7,90,88,85.7143,100
DPR,Community District,Brooklyn 10,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),87.5,75,79.3,89.7,93.3,81,90.2439,97.619,95
DPR,Community District,Brooklyn 9,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),100,92.9,92.3,89.47,89.47,86.7,84.2105,88.8889,94.12
DPR,Community District,Brooklyn 8,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),88.9,83.3,81.3,87,100,96.3,100,91.3043,100
DPR,Community District,Brooklyn 7,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),70,84.4,90,85.2,94.7,92.7,100,100,97.5
DPR,Community District,Brooklyn 6,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),84.8,94.3,91.7,85.4,93.9,92,90.3846,100,94.44
DPR,Community District,Brooklyn 5,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),84.2,88.2,65.7,75.9,82.2,86.3,96.3636,92.8571,81.67
DPR,Community District,Brooklyn 4,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),78.6,70.8,77.3,78.4,82.4,77.4,73.5294,85.2941,90.32
DPR,Community District,Brooklyn 3,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),66.1,65.4,72.6,76.4,85.3,88,75.6757,81.25,94.81
DPR,Community District,Brooklyn 2,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),90.1,89.9,90.47,97.8,92.9,94,97.7273,90.6977,90.7
DPR,Community District,Brooklyn 1,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),81.4,85.3,83.51,84.2,89.9,85.2,82.1429,91.453,91.6
DPR,Community District,Bronx 12,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),100,91.3,95.45,100,100,100,96.9697,100,100
DPR,Community District,Bronx 11,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),87,84.6,95.8,93.54,100,93.9,85.7143,88.2353,100
DPR,Community District,Bronx 10,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),92.9,100,76.9,94.7,100,94.4,100,90.4762,95.45
DPR,Community District,Bronx 9,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),92.3,91.4,95,98.3,96.8,95.9,100,100,95.65
DPR,Community District,Bronx 8,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),90.3,87.1,91.9,79.54,87.3,92,87.037,89.4737,86.21
DPR,Community District,Bronx 7,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),88.46,73.1,89.7,85,92.1,92.3,89.3617,92.6829,84.78
DPR,Community District,Bronx 6,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),71,84.8,96.6,97.7,84,75,75.5102,85.1064,94.55
DPR,Community District,Bronx 5,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),88.9,84.3,88.4,85.45,80,79.4,74.1936,92.8571,90.32
DPR,Community District,Bronx 4,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),67.4,62.8,77.6,84.1,78.3,87.1,87.8788,96.9697,96.88
DPR,Community District,Bronx 3,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),85.7,95.9,82.45,95.7,88,90.1,94.0299,94.5205,98.63
DPR,Community District,Bronx 2,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),96.9,91.2,91.2,90.9,87.2,88.4,91.1111,97.6744,97.83
DPR,Community District,Bronx 1,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),87,79.2,95,89.1,94.4,92.4528,96.2264,96.6102,96.55
DPR,Community District,Manhattan 12,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),96.3,91.7,84,82.8,93.54,93.5484,96.7213,96.875,96.92
DPR,Community District,Manhattan 11,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),92.1,84.4,88.7,82.8,88.7,89.6,92.4051,93.8272,86.25
DPR,Community District,Manhattan 10,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),86.49,80,89.2,90.9,89.8,89.4,93.3333,86,92
DPR,Community District,Manhattan 9,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),76.9,58.1,88.46,95,89.47,91.9,98.3051,96.6667,95.08
DPR,Community District,Manhattan 8,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),77.8,87,100,96,95.45,91.7,96.2963,85.1852,96.15
DPR,Community District,Manhattan 7,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),94.4,96.7,100,91.7,100,100,100,100,93.22
DPR,Community District,Manhattan 6,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),95.2,94.7,100,97.7,97.4,100,97.619,97.8261,97.3
DPR,Community District,Manhattan 5,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),100,100,100,100,100,100,100,100,100
DPR,Community District,Manhattan 4,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),100,100,100,95.7,100,100,100,96,92.86
DPR,Community District,Manhattan 3,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),89.7,91.4,82.4,87.4,87.9,84.9,79.7872,81.0526,81.37
DPR,Community District,Manhattan 2,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),97.4,95.7,96.2,98.4,96.6,98.3,96.4912,98.3051,100
DPR,Community District,Manhattan 1,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%),97.2,96.6,100,100,97.4,100,100,100,100
DPR,Community District,Staten island 3,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),90.2,83,91.3,98.2,87.5,93,95.3125,94.9153,96.97
DPR,Community District,Staten Island 2,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),91.4,83.3,87.5,97.4,93.3,85.7,96.9697,94.7368,93.94
DPR,Community District,Staten Island 1,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),96.4,91.4,89.2,86.3,88.8,87.4,89.4231,91.1765,91.43
DPR,Community District,Queens 14,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),85.48,83.6,88.52,93.1,84.3,92.8,83.8235,93.2432,85.33
DSNY,Community District,Bronx 6,Private transfer station permits,0,0.00,0,0,0,0,0,0,0
DPR,Community District,Queens 13,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),75,67.3,78.8,92.3,83.1,93.7,90.4762,95.4545,92.42
DPR,Community District,Queens 12,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),78.46,67.6,69.9,74.7,76.1,77.1,79.0698,88.2353,92.86
DPR,Community District,Queens 11,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),91.49,88.9,84.8,91.4,92.7,95.2,98.2143,94.7368,94.92
DPR,Community District,Queens 10,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),80.6,78.1,81.8,91.3,72.5,77.5,97.561,78.5714,95
DPR,Community District,Queens 9,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),100,88.9,90.9,100,100,95.4545,100,100,92
DPR,Community District,Queens 8,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),78.7,83,79.54,84.48,91.2,94.9,88.3333,92.4242,89.83
DPR,Community District,Queens 7,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),80,86.1,88.6,88.9,85.1,91,85.8586,90.625,87.23
DPR,Community District,Queens 6,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),82.8,77.4,96.8,94.1,87.2,86.1,97.2973,94.8718,95.12
DPR,Community District,Queens 5,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),90.4,79.7,90,90.54,85.3,88.9,87.5,89.6552,85.71
DPR,Community District,Queens 4,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),91.4,90.7,82.2,77.4,74.4,82.9,88.6364,81.8182,95.45
DPR,Community District,Queens 3,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),87.5,91.7,97.5,96.3,84,95.4545,86.9565,93.0233,92
DPR,Community District,Queens 2,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),83.7,87.8,91.4,85.48,92.45,89.1,89.4737,80.6452,91.38
DPR,Community District,Queens 1,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),82.4,67.7,76.9,67.1,78.1,66.7,67.6923,74.6835,87.32
DPR,Community District,Brooklyn 18,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),46.9,45.1,46.7,77.8,73.1,73.5294,79.1045,70.8333,77.27
DPR,Community District,Brooklyn 17,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),90.48,94.4,72.2,80.8,80.8,95.7,91.6667,68.9655,86.96
DPR,Community District,Brooklyn 16,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),80.49,68.3,81,75.51,85.2,60.8,76.4706,72.549,78.57
DPR,Community District,Brooklyn 15,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),87.2,78.9,68.2,86.3,85.1,89.6,89.3617,80.7692,76.6
DPR,Community District,Brooklyn 14,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),83.3,91.3,100,100,85.7,88.9,86.3636,95.2381,91.3
DPR,Community District,Brooklyn 13,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),61.3,45.8,50,78.1,80.6,74.4,83.3333,82.0513,77.5
DPR,Community District,Brooklyn 12,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),70,92.3,69.2,78.9,94.4,95,81.25,72.2222,88.89
DPR,Community District,Brooklyn 11,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),66.7,42.9,42.9,71.4,57.1,75,68,80.9524,91.67
DPR,Community District,Brooklyn 10,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),78.1,56.3,72.4,76.9,84.4,66.7,78.0488,90.4762,85
DPR,Community District,Brooklyn 9,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),93.3,85.7,76.9,78.9,84.2,66.7,73.6842,77.7778,88.24
DPR,Community District,Brooklyn 8,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),88.9,72.2,81.3,87,100,96.3,100,86.9565,96.15
DPR,Community District,Brooklyn 7,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),66.7,71.1,85,77.8,89.47,80.4878,86.0465,85.3659,95
DPR,Community District,Brooklyn 6,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),72.7,94.3,86.1,81.3,89.8,88,84.6154,93.75,85.19
DPR,Community District,Brooklyn 5,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),84.2,82.4,62.9,72.2,68.9,68.6,87.2727,83.9286,76.67
DPR,Community District,Brooklyn 4,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),78.6,70.8,72.7,78.4,76.47,67.7,64.7059,70.5882,83.87
DPR,Community District,Brooklyn 3,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),59.7,56.4,62.9,69.4,80,68,70.2703,70,84.42
DPR,Community District,Brooklyn 2,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),85.2,78.4,87.3,93.4,86.9,89.2,93.1818,82.5581,81.4
DPR,Community District,Brooklyn 1,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),76.7,78.9,79.1,81.7,84,72.1,67.8571,86.3248,80.67
DPR,Community District,Bronx 12,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),100,91.3,90.9,91.7,88.46,92,96.9697,100,93.33
DSNY,Community District,Queens 1,Sidewalks rated filthy (%),0.3,0.30,0.5,0.4,0.1937,0.1166,0.08,0.1316,NA
DPR,Community District,Bronx 11,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),78.3,69.2,95.8,87.1,100,84.8,85.7143,85.2941,96.77
DPR,Community District,Bronx 10,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),85.7,100,69.2,94.7,90,94.4,100,90.4762,95.45
DPR,Community District,Bronx 9,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),78.8,89.4,95,93.1,92.1,95.9,95.5224,100,91.3
DPR,Community District,Bronx 8,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),83.9,74.2,86.48,65.9,80,82,77.7778,80.7018,82.76
DPR,Community District,Bronx 7,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),84.6,57.7,82.8,85,86.8,87.2,76.5957,90.2439,80.43
DPR,Community District,Bronx 6,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),71,81.8,93.1,95.3,74,68.8,75.5102,82.9787,90.91
DPR,Community District,Bronx 5,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),84.4,76.4,86,76.4,73.8,75,69.3548,85.7143,85.48
DPR,Community District,Bronx 4,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),67.4,60.4,73.46,81,76.8,82.3,87.8788,93.9394,93.75
DPR,Community District,Bronx 3,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),83.9,89.8,80.7,94.3,86.7,80.3,91.0448,89.0411,95.89
DPR,Community District,Bronx 2,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),93.8,85.3,85.3,86.4,82.1,83.7,86.6667,93.0233,97.83
DPR,Community District,Bronx 1,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),82.6,72.9,95,85.45,85.2,92.4528,90.566,93.2203,96.55
DPR,Community District,Bronx 0,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),96.3,79.2,76,82.8,90.3,77.4,91.8033,90.625,95.38
DPR,Community District,Bronx 1,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),84.1,76.6,75.47,68.8,74.6,74.6,84.8101,89.7436,85
DPR,Community District,Bronx 2,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),81.1,70,70.3,79.54,77.6,74.4681,80,74,82
DPR,Community District,Bronx 3,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),73.1,45.2,76.9,85,84.2,78.4,88.1356,85,83.61
DPR,Community District,Bronx 4,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),77.8,73.9,94.4,84,90.9,83.3,77.7778,77.7778,73.08
DPR,Community District,Bronx 5,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),83.3,96.7,96.4,88.9,94.1,86.4865,92.1569,92.8571,88.14
DPR,Community District,Bronx 6,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),95.2,86.8,94.3,95.3,84.6,86.4865,90.4762,82.6087,94.59
DPR,Community District,Bronx 7,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),100,100,100,100,100,90.9,100,100,92.31
DPR,Community District,Bronx 8,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),87.5,88.9,100,95.7,100,90.4762,92,96,92.86
DPR,Community District,Bronx 9,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),76.47,80,75,79.3,80.2,67.7,72.3404,71.5789,76.47
DPR,Community District,Bronx 10,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),94.7,91.3,94.3,95.3,96.6,91.7,89.4737,96.6102,98.33
DPR,Community District,Bronx 11,Citywide acceptability rating for the overall condition of small parks and playgrounds (%),86.1,96.6,97.4,100,97.4,97.8,100,97.5,97.44
DSNY,Community District,Staten Island 3,Sidewalks rated filthy (%),0,0.00,0,0,0.0792,0,0,0.0787,NA
DSNY,Community District,Staten Island 2,Sidewalks rated filthy (%),0.3,0.10,0,0.2,0.0813,0,0,0,NA
DSNY,Community District,Staten Island 1,Sidewalks rated filthy (%),0.1,0.00,0.1,0.1,0.0968,0.1454,0,0.3574,NA
DSNY,Community District,Queens 14,Sidewalks rated filthy (%),0.5,0.90,2.3,0.7,2.0392,0.5595,0.9108,0.8035,NA
DSNY,Community District,Queens 13,Sidewalks rated filthy (%),0.2,0.20,0.3,0.1,0.0887,0.1735,0,0.0639,NA
DSNY,Community District,Queens 12,Sidewalks rated filthy (%),0.1,0.20,0.5,0.5,0.2378,0.2361,0.0771,0.1917,NA
DSNY,Community District,Queens 11,Sidewalks rated filthy (%),0,0.00,0,0,0,0,0,0.0257,NA
DSNY,Community District,Queens 10,Sidewalks rated filthy (%),0,0.00,0.2,0,0.173,0,0,0,NA
DSNY,Community District,Queens 9,Sidewalks rated filthy (%),0.1,0.00,0.1,0,0.1356,0,0,0,NA
DSNY,Community District,Queens 8,Sidewalks rated filthy (%),0.1,0.00,0.1,0.1,0.069,0,0,0.2029,NA
DSNY,Community District,Queens 7,Sidewalks rated filthy (%),0,0.00,0,0.1,0.1067,0.0453,0,0.0232,NA
DSNY,Community District,Queens 6,Sidewalks rated filthy (%),0,0.00,0.1,0,0,0,0,0,NA
DSNY,Community District,Queens 5,Sidewalks rated filthy (%),0.2,0.10,0.1,0.3,0.2815,0.113,0.0499,0.0779,NA
DSNY,Community District,Queens 4,Sidewalks rated filthy (%),0.2,0.00,0,0,0.0596,0,0.1089,0,NA
DSNY,Community District,Queens 3,Sidewalks rated filthy (%),0.2,0.40,0.1,0.1,0.1763,0.1476,0,0.2003,NA
DSNY,Community District,Brooklyn 18,Sidewalks rated filthy (%),0.2,0.30,0.3,0.5,0.6291,0.3113,0.1021,0.3719,NA
DSNY,Community District,Brooklyn 17,Sidewalks rated filthy (%),0.5,0.10,0.3,0.4,0.2905,0.0568,0.1013,0.2447,NA
DSNY,Community District,Brooklyn 16,Sidewalks rated filthy (%),1.7,2.20,2.6,1.7,2.4723,2.8582,0.5204,1.9578,NA
DSNY,Community District,Brooklyn 15,Sidewalks rated filthy (%),0.2,0.00,0.2,0.5,0.2142,0,0.2194,0.3261,NA
DSNY,Community District,Brooklyn 14,Sidewalks rated filthy (%),0.5,0.40,0.6,0.7,0.2287,0.0818,0,0.0972,NA
DSNY,Community District,Brooklyn 13,Sidewalks rated filthy (%),0.6,0.20,0.5,1.2,0,0.4549,0.5318,0.1359,NA
DSNY,Community District,Brooklyn 12,Sidewalks rated filthy (%),0.8,0.30,0.8,0.7,0.7002,1.338,0.678,0.8601,NA
DSNY,Community District,Brooklyn 11,Sidewalks rated filthy (%),0.4,0.50,0.5,0.4,0.2079,0.2046,0.094,0.1149,NA
DSNY,Community District,Brooklyn 10,Sidewalks rated filthy (%),0.1,0.10,0,0,0.1627,0.056,0,0.1887,NA
DSNY,Community District,Brooklyn 9,Sidewalks rated filthy (%),0.3,0.20,0.1,0.3,0.1493,0.1648,0.1352,0,NA
DSNY,Community District,Brooklyn 8,Sidewalks rated filthy (%),0.3,0.10,0.2,0.5,0.9156,0.5236,0.3843,0.3546,NA
DSNY,Community District,Brooklyn 7,Sidewalks rated filthy (%),0.6,0.30,0.3,0.7,0.317,0.1662,0.0387,0.2056,NA
DSNY,Community District,Brooklyn 6,Sidewalks rated filthy (%),0.4,0.50,0.8,0.2,0.1274,0.3307,0.1595,0.1758,NA
DSNY,Community District,Brooklyn 5,Sidewalks rated filthy (%),1.3,1.40,1.5,0.9,1.1867,1.4411,1.0145,0.9797,NA
DSNY,Community District,Brooklyn 4,Sidewalks rated filthy (%),0.7,0.60,0.6,1,0.9525,0.6874,0.1009,0.2724,NA
DSNY,Community District,Brooklyn 3,Sidewalks rated filthy (%),0.7,0.90,1.5,1.5,1.4691,0.9596,0.4345,0.5534,NA
DSNY,Community District,Brooklyn 2,Sidewalks rated filthy (%),0.4,0.80,0.5,0.8,0.7534,0.7786,0.1626,0.0599,NA
DSNY,Community District,Brooklyn 1,Sidewalks rated filthy (%),0.8,0.70,0.6,0.9,1.4345,0.6433,0.1304,0.1591,NA
DSNY,Community District,Bronx 12,Sidewalks rated filthy (%),0.2,0.40,0.1,0.5,0.2563,0.2858,0.253,0.172,NA
DSNY,Community District,Bronx 11,Sidewalks rated filthy (%),0.2,0.10,0.1,0.2,0.5829,0.111,0.2879,0.4373,NA
DSNY,Community District,Bronx 10,Sidewalks rated filthy (%),0.1,0.10,0.2,0,0,0.0635,0,0,NA
DSNY,Community District,Bronx 9,Sidewalks rated filthy (%),0.3,0.10,0.1,0.2,0,0.0913,0,0,NA
DSNY,Community District,Bronx 8,Sidewalks rated filthy (%),0,0.00,0.1,0,0.0302,0,0,0.0308,NA
DSNY,Community District,Bronx 7,Sidewalks rated filthy (%),0.3,0.10,0.2,0,0.1904,0.3348,0.0705,0.5954,NA
DSNY,Community District,Bronx 6,Sidewalks rated filthy (%),0.4,0.10,0.3,0.5,0.2859,0.7491,0.8032,0.5156,NA
DSNY,Community District,Bronx 5,Sidewalks rated filthy (%),0.2,0.00,0.1,0.3,0.8609,0.3509,0,0.1008,NA
DSNY,Community District,Bronx 4,Sidewalks rated filthy (%),0.4,0.30,0.4,0.8,0.8445,0.4631,0.502,0.2678,NA
DSNY,Community District,Bronx 3,Sidewalks rated filthy (%),0.8,1.30,0.9,1.3,0.8181,0.9757,0.2306,0.7858,NA
DSNY,Community District,Bronx 2,Sidewalks rated filthy (%),0.6,1.10,1.7,1.4,1.9325,1.3115,0.5695,1.0033,NA
DSNY,Community District,Bronx 1,Sidewalks rated filthy (%),0.8,0.60,0.8,0.5,1.1453,1.4984,0.2246,0.6279,NA
DSNY,Community District,Manhattan 12,Sidewalks rated filthy (%),0,0.30,0.1,0.2,0.1553,0,0.0531,0.0811,NA
DSNY,Community District,Manhattan 11,Sidewalks rated filthy (%),0.9,0.40,0.6,1,1.2414,0.6611,0.1955,0.3628,NA
DSNY,Community District,Manhattan 10,Sidewalks rated filthy (%),0.3,0.00,0.1,0.2,0.1573,0.1812,0.0868,0.039,NA
DSNY,Community District,Manhattan 9,Sidewalks rated filthy (%),0.1,0.00,0,0.1,0.1389,0.1996,0.1469,0,NA
DSNY,Community District,Manhattan 8,Sidewalks rated filthy (%),0,0.00,0,0,0,0,0,0,NA
DSNY,Community District,Manhattan 7,Sidewalks rated filthy (%),0,0.00,0,0,0,0,0,0,NA
DSNY,Community District,Manhattan 6,Sidewalks rated filthy (%),0,0.40,0.4,0.1,0.1952,0.1234,0.14,0,NA
DSNY,Community District,Manhattan 5,Sidewalks rated filthy (%),0,0.00,0.1,0,0,0,0,0.1082,NA
DSNY,Community District,Manhattan 4,Sidewalks rated filthy (%),0.5,0.10,0.1,0.1,0.1222,0.0636,0.0765,0.1479,NA
DSNY,Community District,Manhattan 3,Sidewalks rated filthy (%),0,0.10,0.1,0.2,0.1587,0.1966,0.0273,0.2119,NA
DSNY,Community District,Manhattan 2,Sidewalks rated filthy (%),0.1,0.00,0,0,0.1646,0,0,0,NA
DSNY,Community District,Manhattan 1,Sidewalks rated filthy (%),0,0.00,0,0,0.1308,0,0,0,NA
DSNY,Community District,Staten Island 3,Sidewalks rated acceptably clean (%),99.6,99.20,99.7,99.4,99.2232,99.7121,99.8187,99.6379,NA
DSNY,Community District,Staten Island 2,Sidewalks rated acceptably clean (%),98.7,99.00,98.3,98.9,98.4524,99.4469,99.6693,99.5167,NA
NYPD,Precinct,108,Hate Crimes (total),2,0,8,4,1,2,NA,0,NA
DSNY,Community District,Staten Island 1,Sidewalks rated acceptably clean (%),96,95.80,95.4,94.6,94.6469,95.8758,94.8394,96.6447,NA
DSNY,Community District,Queens 14,Sidewalks rated acceptably clean (%),94.5,93.50,91.8,93.2,91.516,94.7895,94.8921,93.7481,NA
DSNY,Community District,Queens 13,Sidewalks rated acceptably clean (%),98.5,98.10,98.2,98.1,97.2355,97.517,99.0767,98.8042,NA
DSNY,Community District,Queens 12,Sidewalks rated acceptably clean (%),96.2,94.90,95.7,95.6,95.2833,95.5137,97.4119,97.4469,NA
DSNY,Community District,Queens 11,Sidewalks rated acceptably clean (%),99.6,99.70,99.1,99.7,99.9106,99.7928,99.6365,99.6726,NA
DSNY,Community District,Queens 10,Sidewalks rated acceptably clean (%),99,99.10,98.5,98.4,98.9783,98.7566,98.8789,98.674,NA
DSNY,Community District,Queens 9,Sidewalks rated acceptably clean (%),96.9,95.40,95.6,97.3,95.5933,97.2583,97.699,98.9125,NA
DSNY,Community District,Queens 8,Sidewalks rated acceptably clean (%),98.1,98.60,98,98.4,98.2376,98.3404,98.5425,98.4792,NA
DSNY,Community District,Queens 7,Sidewalks rated acceptably clean (%),99.1,99.10,99.2,98.8,98.3747,99.2191,99.1842,98.9245,NA
DSNY,Community District,Queens 6,Sidewalks rated acceptably clean (%),98.9,98.80,98.6,99.2,98.1765,99.3275,99.5339,99.424,NA
DSNY,Community District,Queens 5,Sidewalks rated acceptably clean (%),97.3,97.30,96.3,96.9,95.5508,97.4567,98.5335,98.2718,NA
DSNY,Community District,Queens 4,Sidewalks rated acceptably clean (%),95.4,96.60,97.2,97,96.6186,98.2425,98.0144,98.7562,NA
DSNY,Community District,Queens 3,Sidewalks rated acceptably clean (%),96.6,95.50,96.9,95.7,96.284,96.1158,97.82,96.5455,NA
DSNY,Community District,Queens 2,Sidewalks rated acceptably clean (%),94.5,94.10,93.1,93.5,92.052,94.1104,94.4817,96.1661,NA
DSNY,Community District,Queens 1,Sidewalks rated acceptably clean (%),96.6,96.70,95.8,95.1,95.3227,96.9642,98.176,97.6236,NA
DSNY,Community District,Manhattan 12,Sidewalks rated acceptably clean (%),97.6,98.00,97.9,96.6,96.3514,96.9742,98.3323,96.8632,NA
DSNY,Community District,Manhattan 11,Sidewalks rated acceptably clean (%),94.8,95.70,94.2,94.9,93.4106,95.5413,96.8532,96.4219,NA
DSNY,Community District,Manhattan 10,Sidewalks rated acceptably clean (%),96,96.60,96.6,95.5,94.8569,97.198,97.1631,97.4629,NA
DSNY,Community District,Manhattan 9,Sidewalks rated acceptably clean (%),97.4,97.90,98.4,96.6,95.1551,96.8432,97.5895,96.7607,NA
DSNY,Community District,Manhattan 8,Sidewalks rated acceptably clean (%),99.7,99.90,99.8,99.8,99.2551,99.778,99.4583,99.2965,NA
DSNY,Community District,Manhattan 7,Sidewalks rated acceptably clean (%),99.4,99.60,99.5,98.9,98.2487,99.1533,99.8486,99.4242,NA
DSNY,Community District,Manhattan 6,Sidewalks rated acceptably clean (%),99.1,98.50,98.3,99,97.2387,98.669,98.1572,98.115,NA
DSNY,Community District,Manhattan 5,Sidewalks rated acceptably clean (%),99.1,99.10,98.7,99.5,98.9657,99.4618,99.3347,98.5955,NA
DSNY,Community District,Manhattan 4,Sidewalks rated acceptably clean (%),97.8,97.40,98.3,96.4,96.1362,97.8864,98.981,97.9335,NA
